ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
201768_s_at	2.00E-02	2.20E-03	3.209534	-1.71304	0.5161918	CLINT1	clathrin interactor 1
209788_s_at	2.00E-02	2.20E-03	3.209447	-1.71327	1.2081603	ERAP1	endoplasmic reticulum aminopeptidase 1
210464_at	2.00E-02	2.20E-03	-3.209167	-1.71402	-1.4282482	LINC00588	long intergenic non-protein coding RNA 588
216647_at	2.00E-02	2.20E-03	-3.208444	-1.71595	-0.7926449	TCF3	transcription factor 3
212411_at	2.00E-02	2.21E-03	3.208244	-1.71648	0.948312	IMP4	"IMP4 homolog, U3 small nucleolar ribonucleoprotein"
204590_x_at	2.00E-02	2.21E-03	-3.208019	-1.71708	-0.8333433	VPS33A	"VPS33A, CORVET/HOPS core subunit"
209904_at	2.00E-02	2.21E-03	-3.207396	-1.71874	-1.8294581	TNNC1	"troponin C1, slow skeletal and cardiac type"
214304_x_at	2.01E-02	2.22E-03	-3.206882	-1.72011	-0.722907		
208111_at	2.01E-02	2.22E-03	-3.206779	-1.72039	-1.263525	AVPR2	arginine vasopressin receptor 2
203855_at	2.01E-02	2.22E-03	3.206122	-1.72214	0.5961276	WDR47	WD repeat domain 47
208942_s_at	2.01E-02	2.22E-03	3.205756	-1.72312	0.5733591	SEC62	"SEC62 homolog, preprotein translocation factor"
205831_at	2.01E-02	2.23E-03	-3.20533	-1.72425	-0.9080458	CD2	CD2 molecule
217337_at	2.01E-02	2.23E-03	-3.205045	-1.72501	-1.0191264		
219663_s_at	2.01E-02	2.23E-03	-3.204855	-1.72552	-1.1026751	TMEM121	transmembrane protein 121
214809_at	2.02E-02	2.23E-03	-3.204191	-1.72729	-1.0914753	LOC100294145	uncharacterized LOC100294145
209647_s_at	2.02E-02	2.23E-03	3.203987	-1.72783	0.6200395	SOCS5	suppressor of cytokine signaling 5
208612_at	2.02E-02	2.23E-03	3.20384	-1.72823	0.8616652	PDIA3	protein disulfide isomerase family A member 3
212201_at	2.02E-02	2.24E-03	3.203688	-1.72863	1.0347835	ANKLE2	ankyrin repeat and LEM domain containing 2
204334_at	2.02E-02	2.24E-03	3.203664	-1.7287	0.5282949	KLF7	Kruppel like factor 7
206222_at	2.02E-02	2.24E-03	-3.203551	-1.729	-0.7433189	TNFRSF10C	TNF receptor superfamily member 10c
213307_at	2.02E-02	2.24E-03	-3.203089	-1.73023	-0.6206669	SHANK2	SH3 and multiple ankyrin repeat domains 2
207504_at	2.02E-02	2.24E-03	-3.203053	-1.73032	-0.660942	CA7	carbonic anhydrase 7
212934_at	2.02E-02	2.24E-03	3.203051	-1.73033	0.661048	UBXN2B	UBX domain protein 2B
213138_at	2.02E-02	2.24E-03	-3.202943	-1.73062	-1.1442747	ARID5A	AT-rich interaction domain 5A
209311_at	2.02E-02	2.24E-03	-3.202418	-1.73202	-0.6266928	BCL2L2	BCL2 like 2
212241_at	2.02E-02	2.25E-03	3.201937	-1.7333	0.6669139	MYZAP///GCOM1///POLR2M	myocardial zonula adherens protein///GRINL1A complex locus 1///RNA polymerase II subunit M
AFFX-HUMRGE/M10098_M_at	2.02E-02	2.25E-03	-3.201848	-1.73354	-2.0560533		
202379_s_at	2.02E-02	2.25E-03	3.201494	-1.73448	1.3042911	NKTR	natural killer cell triggering receptor
221448_s_at	2.02E-02	2.25E-03	-3.201025	-1.73573	-0.7553461	TEX15	testis expressed 15
208908_s_at	2.02E-02	2.25E-03	3.200847	-1.7362	0.8686314	CAST	calpastatin
214949_at	2.02E-02	2.26E-03	3.200674	-1.73667	1.3262434		
218421_at	2.02E-02	2.26E-03	-3.200669	-1.73668	-0.5910609	CERK	ceramide kinase
217749_at	2.02E-02	2.26E-03	3.200491	-1.73715	0.6012044	COPG1	coatomer protein complex subunit gamma 1
204386_s_at	2.02E-02	2.26E-03	3.200195	-1.73794	0.6180139	MRPL57	mitochondrial ribosomal protein L57
209320_at	2.03E-02	2.26E-03	-3.199591	-1.73955	-0.5656528	ADCY3	adenylate cyclase 3
212488_at	2.03E-02	2.26E-03	3.199378	-1.74012	1.1007506	COL5A1	collagen type V alpha 1 chain
220452_x_at	2.03E-02	2.27E-03	-3.199117	-1.74081	-0.4564142		
218854_at	2.03E-02	2.27E-03	3.198763	-1.74176	0.6990851	DSE	dermatan sulfate epimerase
202652_at	2.03E-02	2.27E-03	-3.198517	-1.74241	-0.9356214	APBB1	amyloid beta precursor protein binding family B member 1
207301_at	2.03E-02	2.27E-03	-3.198358	-1.74283	-1.6634445	EFNA5	ephrin A5
209160_at	2.03E-02	2.28E-03	-3.197595	-1.74486	-1.9645258	AKR1C3	"aldo-keto reductase family 1, member C3"
203510_at	2.04E-02	2.28E-03	3.197082	-1.74623	1.8772054	MET	"MET proto-oncogene, receptor tyrosine kinase"
204730_at	2.04E-02	2.28E-03	-3.196502	-1.74777	-1.0943041	RIMS3	regulating synaptic membrane exocytosis 3
208393_s_at	2.04E-02	2.29E-03	3.195815	-1.7496	0.7871087	RAD50	RAD50 double strand break repair protein
201914_s_at	2.04E-02	2.29E-03	3.195364	-1.7508	0.83839	SEC63	"SEC63 homolog, protein translocation regulator"
202401_s_at	2.05E-02	2.30E-03	-3.194698	-1.75258	-1.0978112	SRF	serum response factor
216038_x_at	2.05E-02	2.30E-03	3.194576	-1.7529	0.7401551	DAXX	death domain associated protein
202907_s_at	2.05E-02	2.30E-03	3.193836	-1.75487	0.4746022	NBN	nibrin
200822_x_at	2.05E-02	2.30E-03	3.193593	-1.75552	0.5652363	TPI1	triosephosphate isomerase 1
211379_x_at	2.05E-02	2.30E-03	3.193314	-1.75626	0.9658953	B3GALNT1	"beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)"
220167_s_at	2.05E-02	2.31E-03	-3.193259	-1.7564	-0.6548453	TP53TG3B///TP53TG3D///TP53TG3C///TP53TG3	TP53 target 3B///TP53 target 3D///TP53 target 3C///TP53 target 3
218023_s_at	2.05E-02	2.31E-03	-3.193053	-1.75695	-0.450942	FAM53C	family with sequence similarity 53 member C
213303_x_at	2.05E-02	2.31E-03	3.192442	-1.75858	1.0777573	ZBTB7A	zinc finger and BTB domain containing 7A
222163_s_at	2.05E-02	2.31E-03	3.192385	-1.75873	0.8849035	SPATA5L1	spermatogenesis associated 5 like 1
206643_at	2.05E-02	2.31E-03	-3.19237	-1.75877	-1.1041847	HAL	histidine ammonia-lyase
219014_at	2.05E-02	2.31E-03	-3.192321	-1.7589	-1.3265854	PLAC8	placenta specific 8
212881_at	2.05E-02	2.31E-03	-3.191973	-1.75982	-0.6417696	PIAS4	protein inhibitor of activated STAT 4
216257_at	2.05E-02	2.32E-03	-3.191716	-1.76051	-1.0770236	SERPINB13	serpin family B member 13
215682_at	2.05E-02	2.32E-03	-3.191623	-1.76075	-1.1334586	LOC440792	proline dehydrogenase 1 pseudogene
203237_s_at	2.05E-02	2.32E-03	-3.191192	-1.7619	-0.9475048	NOTCH3	notch 3
203114_at	2.05E-02	2.32E-03	3.19111	-1.76212	1.2090615	SSSCA1	Sjogren syndrome/scleroderma autoantigen 1
213658_at	2.05E-02	2.32E-03	-3.191077	-1.76221	-0.749043		
220792_at	2.05E-02	2.32E-03	-3.191034	-1.76232	-0.6660378	PRDM5	PR/SET domain 5
36084_at	2.06E-02	2.32E-03	3.190444	-1.76389	0.4170666	CUL7	cullin 7
202844_s_at	2.06E-02	2.33E-03	3.190042	-1.76496	1.7430617	RALBP1	ralA binding protein 1
217294_s_at	2.06E-02	2.33E-03	3.189274	-1.767	1.8639021	ENO1	enolase 1
210970_s_at	2.07E-02	2.34E-03	3.188503	-1.76905	0.6226687	IBTK	inhibitor of Bruton tyrosine kinase
215712_s_at	2.07E-02	2.34E-03	-3.188035	-1.77029	-1.0988999	IGFALS	insulin like growth factor binding protein acid labile subunit
208204_s_at	2.07E-02	2.34E-03	-3.18785	-1.77078	-0.9638846	CAV3	caveolin 3
210056_at	2.07E-02	2.34E-03	-3.187476	-1.77178	-1.1329464	RND1	Rho family GTPase 1
209677_at	2.07E-02	2.35E-03	3.187016	-1.773	1.1226727	PRKCI	protein kinase C iota
211917_s_at	2.07E-02	2.35E-03	-3.186902	-1.7733	-1.2826045	PRLR	prolactin receptor
200991_s_at	2.08E-02	2.35E-03	3.186023	-1.77564	1.4506147	SNX17	sorting nexin 17
211632_at	2.08E-02	2.36E-03	-3.185817	-1.77618	-1.5186538	IGHM///IGHG1///IGHD	immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta
207597_at	2.08E-02	2.36E-03	-3.185641	-1.77665	-1.0131882	ADAM18	ADAM metallopeptidase domain 18
201821_s_at	2.08E-02	2.36E-03	3.1846	-1.77942	1.0399189	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)
221928_at	2.08E-02	2.37E-03	-3.18446	-1.77979	-1.313546	ACACB	acetyl-CoA carboxylase beta
206680_at	2.09E-02	2.37E-03	-3.183945	-1.78115	-1.2858376	CD5L	CD5 molecule like
209735_at	2.09E-02	2.37E-03	-3.183784	-1.78158	-0.695726	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)
202543_s_at	2.09E-02	2.38E-03	3.182912	-1.7839	0.5246282	GMFB	glia maturation factor beta
215396_at	2.09E-02	2.38E-03	-3.182908	-1.78391	-0.9322177	ADGRV1	adhesion G protein-coupled receptor V1
210026_s_at	2.09E-02	2.38E-03	-3.181907	-1.78656	-0.7900797	CARD10	caspase recruitment domain family member 10
221963_x_at	2.10E-02	2.39E-03	3.181243	-1.78832	0.6559419	ZNF587B	zinc finger protein 587B
210605_s_at	2.10E-02	2.39E-03	-3.181218	-1.78839	-0.8356986	MFGE8	milk fat globule-EGF factor 8 protein
218395_at	2.10E-02	2.39E-03	3.181171	-1.78851	0.5846496	ACTR6	ARP6 actin-related protein 6 homolog
220866_at	2.10E-02	2.39E-03	-3.180485	-1.79034	-0.8072603	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6
220057_at	2.10E-02	2.39E-03	-3.180251	-1.79096	-0.798784	XAGE1B///XAGE1E	X antigen family member 1B///X antigen family member 1E
203597_s_at	2.10E-02	2.40E-03	3.179432	-1.79313	0.9528213	WBP4	WW domain binding protein 4
207563_s_at	2.10E-02	2.40E-03	3.179166	-1.79383	0.6138736	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase
220611_at	2.10E-02	2.40E-03	-3.179162	-1.79384	-1.0006536	DAB1	"DAB1, reelin adaptor protein"
207284_s_at	2.11E-02	2.41E-03	-3.177666	-1.79781	-1.2919895	ASPH	aspartate beta-hydroxylase
204668_at	2.11E-02	2.41E-03	3.177643	-1.79787	0.8603617	RNF24	ring finger protein 24
213691_at	2.11E-02	2.42E-03	-3.177327	-1.79871	-0.9259101	PTOV1-AS2	PTOV1 antisense RNA 2
209790_s_at	2.12E-02	2.42E-03	3.176434	-1.80108	1.2560516	CASP6	caspase 6
33132_at	2.12E-02	2.43E-03	3.17541	-1.80379	0.9431364	MIR6849///MIR1234///MIR939///CPSF1	microRNA 6849///microRNA 1234///microRNA 939///cleavage and polyadenylation specific factor 1
38037_at	2.12E-02	2.43E-03	-3.175052	-1.80474	-0.8985211	HBEGF	heparin binding EGF like growth factor
206566_at	2.12E-02	2.43E-03	-3.175006	-1.80486	-1.4301816	SLC7A1	solute carrier family 7 member 1
209443_at	2.12E-02	2.43E-03	-3.174862	-1.80524	-0.8681191	SERPINA5	serpin family A member 5
208287_at	2.13E-02	2.43E-03	-3.174671	-1.80575	-0.8398383	HCG9	HLA complex group 9 (non-protein coding)
203957_at	2.13E-02	2.44E-03	3.173384	-1.80916	1.1471933	E2F6	E2F transcription factor 6
201541_s_at	2.14E-02	2.45E-03	3.172048	-1.8127	0.8938799	ZNHIT1	zinc finger HIT-type containing 1
205803_s_at	2.14E-02	2.45E-03	3.171853	-1.81321	0.7265952	TRPC1	transient receptor potential cation channel subfamily C member 1
AFFX-r2-P1-cre-5_at	2.14E-02	2.46E-03	-3.171367	-1.8145	-0.9199004		
202910_s_at	2.14E-02	2.46E-03	-3.171212	-1.81491	-1.307177	ADGRE5	adhesion G protein-coupled receptor E5
48117_at	2.14E-02	2.46E-03	-3.170879	-1.81579	-0.6423359	SGF29	SAGA complex associated factor 29
217219_at	2.15E-02	2.46E-03	-3.170454	-1.81692	-0.7084689	DKFZP434A062	uncharacterized LOC26102
213684_s_at	2.15E-02	2.47E-03	3.170184	-1.81763	1.6787305	PDLIM5	PDZ and LIM domain 5
204551_s_at	2.15E-02	2.47E-03	-3.17006	-1.81796	-1.2482612	AHSG	alpha 2-HS glycoprotein
221957_at	2.15E-02	2.47E-03	-3.169856	-1.8185	-0.5556399	PDK3	pyruvate dehydrogenase kinase 3
214564_s_at	2.15E-02	2.47E-03	-3.169622	-1.81912	-0.830918	PCDHGC3	"protocadherin gamma subfamily C, 3"
203591_s_at	2.15E-02	2.47E-03	-3.169229	-1.82016	-1.1326951	CSF3R	colony stimulating factor 3 receptor
215697_at	2.15E-02	2.47E-03	-3.169166	-1.82033	-0.9277853		
218516_s_at	2.15E-02	2.48E-03	3.168337	-1.82252	0.9530518	IMPAD1	inositol monophosphatase domain containing 1
210579_s_at	2.16E-02	2.49E-03	-3.167259	-1.82537	-0.7891924	TRIM10	tripartite motif containing 10
216807_at	2.16E-02	2.49E-03	-3.166843	-1.82647	-0.7070851	CFAP74	cilia and flagella associated protein 74
221507_at	2.16E-02	2.50E-03	3.166068	-1.82852	0.9736508	TNPO2	transportin 2
1053_at	2.17E-02	2.50E-03	3.165742	-1.82938	1.0003673	RFC2	replication factor C subunit 2
220937_s_at	2.17E-02	2.50E-03	-3.165723	-1.82943	-1.1458091	ST6GALNAC4	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4"
222214_at	2.17E-02	2.51E-03	3.164419	-1.83288	1.3205774		
216120_s_at	2.18E-02	2.51E-03	-3.16384	-1.83441	-1.3217102	ATP2B2	ATPase plasma membrane Ca2+ transporting 2
203544_s_at	2.18E-02	2.52E-03	3.16314	-1.83626	0.6578587	STAM	signal transducing adaptor molecule
219745_at	2.18E-02	2.52E-03	-3.163037	-1.83653	-1.2293875	MFSD13A	major facilitator superfamily domain containing 13A
222311_s_at	2.18E-02	2.52E-03	-3.162984	-1.83667	-0.7767045	SCAF4	SR-related CTD associated factor 4
217275_at	2.18E-02	2.52E-03	-3.162729	-1.83735	-0.5346996	TSSK2	testis specific serine kinase 2
206161_s_at	2.18E-02	2.52E-03	-3.162629	-1.83761	-0.6099331	SYT5	synaptotagmin 5
208890_s_at	2.18E-02	2.52E-03	3.162484	-1.83799	1.1982697	PLXNB2	plexin B2
39318_at	2.18E-02	2.52E-03	-3.16234	-1.83838	-1.2352956	TCL1A	T-cell leukemia/lymphoma 1A
AFFX-r2-Ec-bioC-3_at	2.18E-02	2.53E-03	-3.16187	-1.83962	-0.9611787		
215446_s_at	2.18E-02	2.53E-03	3.161305	-1.84111	1.4038597	LOX	lysyl oxidase
208259_x_at	2.19E-02	2.53E-03	-3.160838	-1.84234	-0.714372	IFNA7	interferon alpha 7
205938_at	2.19E-02	2.54E-03	-3.160387	-1.84353	-1.1094029	PPM1E	"protein phosphatase, Mg2+/Mn2+ dependent 1E"
207605_x_at	2.19E-02	2.54E-03	3.159946	-1.8447	0.773946	ZNF117	zinc finger protein 117
211098_x_at	2.19E-02	2.54E-03	3.159645	-1.84549	1.0630677	TMCO1	transmembrane and coiled-coil domains 1
202606_s_at	2.19E-02	2.55E-03	3.159242	-1.84656	0.6187647	TLK1	tousled like kinase 1
212820_at	2.19E-02	2.55E-03	3.159094	-1.84695	0.9280686	DMXL2	Dmx like 2
219728_at	2.19E-02	2.55E-03	-3.158955	-1.84732	-1.4559362	MYOT	myotilin
206148_at	2.19E-02	2.55E-03	-3.158939	-1.84736	-0.9380361	IL3RA	interleukin 3 receptor subunit alpha
214102_at	2.19E-02	2.55E-03	-3.158849	-1.8476	-0.6028003		
210106_at	2.19E-02	2.55E-03	-3.158184	-1.84935	-0.8130367	BLOC1S1-RDH5///RDH5	BLOC1S1-RDH5 readthrough///retinol dehydrogenase 5
210517_s_at	2.19E-02	2.55E-03	-3.158138	-1.84947	-0.7685022	AKAP12	A-kinase anchoring protein 12
214115_at	2.20E-02	2.56E-03	-3.15741	-1.85139	-0.6052995	VAMP5	vesicle associated membrane protein 5
222187_x_at	2.20E-02	2.57E-03	-3.156462	-1.8539	-0.7632948	G3BP1	G3BP stress granule assembly factor 1
213309_at	2.20E-02	2.57E-03	-3.156194	-1.8546	-1.2681795	PLCL2	phospholipase C like 2
208378_x_at	2.21E-02	2.57E-03	-3.15577	-1.85572	-1.121828	FGF5	fibroblast growth factor 5
206885_x_at	2.21E-02	2.58E-03	-3.155298	-1.85697	-0.7777702	GH1	growth hormone 1
210775_x_at	2.21E-02	2.58E-03	-3.154858	-1.85813	-0.4526648	CASP9	caspase 9
210288_at	2.21E-02	2.58E-03	-3.154408	-1.85931	-0.5105264	KLRG1	killer cell lectin like receptor G1
221047_s_at	2.22E-02	2.59E-03	-3.153509	-1.86169	-0.8028075	MARK1	microtubule affinity regulating kinase 1
201197_at	2.22E-02	2.59E-03	-3.153024	-1.86297	-0.4528355	AMD1	adenosylmethionine decarboxylase 1
219973_at	2.22E-02	2.59E-03	-3.15297	-1.86311	-1.2399419	ARSJ	arylsulfatase family member J
209934_s_at	2.22E-02	2.59E-03	3.152877	-1.86335	1.061962	ATP2C1	ATPase secretory pathway Ca2+ transporting 1
221886_at	2.22E-02	2.59E-03	-3.152711	-1.86379	-1.7284917	DENND2A	DENN domain containing 2A
210645_s_at	2.22E-02	2.60E-03	3.152619	-1.86403	0.7791816	TTC3P1///TTC3	tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3
217935_s_at	2.22E-02	2.60E-03	3.152532	-1.86426	0.8088926	UQCC1	ubiquinol-cytochrome c reductase complex assembly factor 1
213961_s_at	2.22E-02	2.60E-03	-3.152296	-1.86488	-0.9314767	TAF6L	TATA-box binding protein associated factor 6 like
AFFX-HUMRGE/M10098_3_at	2.22E-02	2.60E-03	-3.152007	-1.86565	-1.178235		
221597_s_at	2.22E-02	2.61E-03	3.151227	-1.8677	0.4622055	TMEM208	transmembrane protein 208
215714_s_at	2.22E-02	2.61E-03	3.151057	-1.86815	1.4404425	SMARCA4	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
214534_at	2.22E-02	2.61E-03	-3.151046	-1.86818	-1.4968802	HIST1H1B	"histone cluster 1, H1b"
208933_s_at	2.22E-02	2.61E-03	3.150846	-1.86871	1.8300489	LGALS8	galectin 8
205968_at	2.23E-02	2.61E-03	-3.150381	-1.86993	-0.9843583	KCNS3	potassium voltage-gated channel modifier subfamily S member 3
213473_at	2.23E-02	2.61E-03	3.150188	-1.87044	0.9269543	BRAP	BRCA1 associated protein
210682_at	2.23E-02	2.62E-03	-3.14986	-1.8713	-1.3289417	LPO	lactoperoxidase
212575_at	2.23E-02	2.62E-03	-3.149487	-1.87229	-0.9317413	TMEM259	transmembrane protein 259
211972_x_at	2.23E-02	2.62E-03	3.148891	-1.87386	0.766571	RPLP0	ribosomal protein lateral stalk subunit P0
219135_s_at	2.23E-02	2.63E-03	-3.148565	-1.87472	-0.9189339	LMF1	lipase maturation factor 1
52975_at	2.24E-02	2.63E-03	-3.148255	-1.87553	-0.8910996	MVB12B	multivesicular body subunit 12B
207483_s_at	2.24E-02	2.63E-03	3.148146	-1.87582	0.7420317	CAND1	cullin associated and neddylation dissociated 1
205489_at	2.24E-02	2.63E-03	-3.147716	-1.87695	-0.853558	CRYM	crystallin mu
204665_at	2.24E-02	2.64E-03	-3.146821	-1.87931	-0.6241477	SIKE1	suppressor of IKBKE 1
201722_s_at	2.25E-02	2.65E-03	3.14514	-1.88374	0.6695144	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1
214494_s_at	2.25E-02	2.65E-03	3.144951	-1.88424	1.0113383	LOC101930112///SPG7	"uncharacterized LOC101930112///SPG7, paraplegin matrix AAA peptidase subunit"
221120_at	2.25E-02	2.65E-03	-3.144842	-1.88452	-0.7565315		
204982_at	2.25E-02	2.65E-03	-3.14484	-1.88453	-0.7454394	GIT2	GIT ArfGAP 2
212532_s_at	2.25E-02	2.66E-03	3.144469	-1.8855	0.423934	LSM12	LSM12 homolog
221344_at	2.25E-02	2.66E-03	-3.144078	-1.88653	-0.8740892	OR12D2	olfactory receptor family 12 subfamily D member 2 (gene/pseudogene)
203250_at	2.26E-02	2.66E-03	3.143747	-1.8874	0.5389127	SCAF8	SR-related CTD associated factor 8
202404_s_at	2.26E-02	2.67E-03	3.143248	-1.88872	2.1090453	COL1A2	collagen type I alpha 2 chain
204057_at	2.26E-02	2.67E-03	-3.143165	-1.88893	-1.160687	IRF8	interferon regulatory factor 8
206309_at	2.26E-02	2.67E-03	-3.142988	-1.8894	-0.7505841	LECT1	leukocyte cell derived chemotaxin 1
216516_at	2.26E-02	2.67E-03	-3.142605	-1.89041	-1.6564013		
220212_s_at	2.26E-02	2.67E-03	3.142605	-1.89041	1.2265259	THADA	"THADA, armadillo repeat containing"
206807_s_at	2.26E-02	2.68E-03	-3.141712	-1.89276	-1.202882	ADD2	adducin 2
209257_s_at	2.27E-02	2.68E-03	3.141199	-1.89411	1.0728415	SMC3	structural maintenance of chromosomes 3
217135_x_at	2.27E-02	2.69E-03	-3.140365	-1.8963	-0.9593765		
203144_s_at	2.27E-02	2.69E-03	-3.140231	-1.89665	-1.3030344	KIAA0040	KIAA0040
40665_at	2.27E-02	2.69E-03	-3.139815	-1.89775	-1.1173565	FMO3	flavin containing monooxygenase 3
215240_at	2.27E-02	2.69E-03	-3.139703	-1.89804	-0.977117	ITGB3	integrin subunit beta 3
213932_x_at	2.27E-02	2.70E-03	3.139471	-1.89865	0.6798482	HLA-A	"major histocompatibility complex, class I, A"
212472_at	2.28E-02	2.70E-03	3.139158	-1.89947	0.889921	MICAL2	"microtubule associated monooxygenase, calponin and LIM domain containing 2"
208804_s_at	2.28E-02	2.70E-03	-3.138948	-1.90002	-0.6221407	SRSF6	serine and arginine rich splicing factor 6
218056_at	2.28E-02	2.71E-03	3.138103	-1.90225	0.5732735	BFAR	bifunctional apoptosis regulator
221198_at	2.28E-02	2.71E-03	-3.137486	-1.90387	-1.3443803	SCT	secretin
212918_at	2.30E-02	2.73E-03	3.135399	-1.90935	0.6340555	RECQL	RecQ like helicase
209806_at	2.30E-02	2.73E-03	3.13539	-1.90937	1.3006476	HIST1H2BK	"histone cluster 1, H2bk"
220804_s_at	2.30E-02	2.73E-03	-3.134602	-1.91144	-1.1086084	TP73	tumor protein p73
213023_at	2.31E-02	2.74E-03	3.133467	-1.91443	0.7480852	UTRN	utrophin
212323_s_at	2.31E-02	2.74E-03	-3.133464	-1.91443	-0.6594444	VPS13D	vacuolar protein sorting 13 homolog D
200000_s_at	2.31E-02	2.75E-03	3.133262	-1.91496	0.7220029	PRPF8	pre-mRNA processing factor 8
211953_s_at	2.31E-02	2.75E-03	3.132616	-1.91666	0.8540811	IPO5	importin 5
202381_at	2.31E-02	2.75E-03	3.132438	-1.91713	0.9236464	ADAM9	ADAM metallopeptidase domain 9
203488_at	2.32E-02	2.76E-03	-3.13133	-1.92003	-0.5977814	ADGRL1	adhesion G protein-coupled receptor L1
203503_s_at	2.32E-02	2.76E-03	3.13094	-1.92106	1.1423221	PEX14	peroxisomal biogenesis factor 14
218206_x_at	2.32E-02	2.77E-03	3.130749	-1.92156	0.6012589	SCAND1	SCAN domain containing 1
214908_s_at	2.32E-02	2.77E-03	3.130597	-1.92196	1.0148744	TRRAP	transformation/transcription domain associated protein
207995_s_at	2.33E-02	2.78E-03	-3.129397	-1.92511	-0.77678	CLEC4M	C-type lectin domain family 4 member M
210155_at	2.33E-02	2.78E-03	-3.129382	-1.92515	-1.5111491	MYOC	myocilin
213148_at	2.33E-02	2.78E-03	-3.129222	-1.92556	-1.1491502	C2orf72	chromosome 2 open reading frame 72
213579_s_at	2.33E-02	2.78E-03	3.128501	-1.92746	0.9734154	EP300	E1A binding protein p300
206463_s_at	2.33E-02	2.79E-03	-3.127635	-1.92973	-1.3722967	DHRS2	dehydrogenase/reductase 2
213507_s_at	2.33E-02	2.79E-03	-3.127505	-1.93007	-0.507281	KPNB1	karyopherin subunit beta 1
204118_at	2.34E-02	2.80E-03	-3.126998	-1.9314	-0.6683157	CD48	CD48 molecule
205344_at	2.34E-02	2.80E-03	-3.126796	-1.93193	-0.729653	CSPG5	chondroitin sulfate proteoglycan 5
215091_s_at	2.34E-02	2.80E-03	3.126591	-1.93246	0.5616555	GTF3A	general transcription factor IIIA
208413_at	2.34E-02	2.80E-03	-3.126318	-1.93318	-0.8649789	RARB	retinoic acid receptor beta
215550_at	2.34E-02	2.81E-03	-3.125693	-1.93482	-1.0074396	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3
216621_at	2.35E-02	2.81E-03	-3.124586	-1.93772	-1.2013298		
215801_at	2.35E-02	2.82E-03	-3.124514	-1.93791	-0.8798622		
211113_s_at	2.35E-02	2.82E-03	-3.124268	-1.93855	-0.6230112	ABCG1	ATP binding cassette subfamily G member 1
220743_at	2.35E-02	2.82E-03	-3.123714	-1.94	-0.9225158	C16orf72	chromosome 16 open reading frame 72
219258_at	2.35E-02	2.82E-03	3.123486	-1.9406	1.3072712	TIPIN	TIMELESS interacting protein
205759_s_at	2.35E-02	2.82E-03	-3.123332	-1.94101	-0.6164685	SULT2B1	sulfotransferase family 2B member 1
AFFX-HUMGAPDH/M33197_M_at	2.36E-02	2.83E-03	3.122514	-1.94315	1.5600347	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
206610_s_at	2.36E-02	2.84E-03	-3.121676	-1.94534	-0.9117594	F11	coagulation factor XI
204075_s_at	2.36E-02	2.84E-03	-3.121308	-1.94631	-0.7757015	CEP104	centrosomal protein 104
213274_s_at	2.37E-02	2.84E-03	3.121027	-1.94704	0.7044839	CTSB	cathepsin B
216695_s_at	2.37E-02	2.85E-03	-3.120503	-1.94841	-1.1143368	TNKS	tankyrase
201165_s_at	2.37E-02	2.85E-03	3.120454	-1.94854	0.6129735	PUM1	pumilio RNA binding family member 1
209612_s_at	2.37E-02	2.85E-03	-3.120417	-1.94864	-2.6206437	ADH1B	"alcohol dehydrogenase 1B (class I), beta polypeptide"
207766_at	2.37E-02	2.85E-03	-3.120123	-1.94941	-0.8904989	CDKL1	cyclin dependent kinase like 1
210395_x_at	2.37E-02	2.85E-03	-3.119893	-1.95001	-0.5044618	MYL4	myosin light chain 4
219770_at	2.37E-02	2.85E-03	-3.119706	-1.9505	-0.437873	GTDC1	glycosyltransferase like domain containing 1
203348_s_at	2.37E-02	2.86E-03	-3.119314	-1.95153	-0.8784049	ETV5	ETS variant 5
214756_x_at	2.37E-02	2.86E-03	3.119206	-1.95181	0.5149395	PMS2P1	"PMS1 homolog 2, mismatch repair system component pseudogene 1"
209513_s_at	2.37E-02	2.86E-03	-3.119005	-1.95233	-0.8031504	HSDL2	hydroxysteroid dehydrogenase like 2
203917_at	2.37E-02	2.87E-03	3.118422	-1.95386	1.304524	CXADR	coxsackie virus and adenovirus receptor
213678_at	2.37E-02	2.87E-03	-3.118374	-1.95399	-0.8181378	TMEM151B	transmembrane protein 151B
216505_x_at	2.37E-02	2.87E-03	3.118258	-1.95429	0.5816211		
201932_at	2.38E-02	2.87E-03	3.117452	-1.9564	1.1482827	LRRC41	leucine rich repeat containing 41
218612_s_at	2.38E-02	2.87E-03	-3.117391	-1.95656	-0.7436431	TSSC4	tumor suppressing subtransferable candidate 4
